,County,Seat,Yearly Salary,Living Wage,Distance to INT Airport,Stack Overflow Estimated Salary,county,Quality of K12 Education,Quality of Life,Broadband Availability
0,Alexander,Cairo,36048,21054,145,64000,Alexander,2,4,1
1,Franklin,Benton,33024,21150,111,64000,Franklin,2,3,1
2,Gallatin,Shawneetown,43776,21150,157,64000,Gallatin,3,3,1
3,Hamilton,Mcleansboro,42912,21150,119,64000,Hamilton,2,3,1
4,Hardin,Elizabethtown,28560,21150,173,64000,Hardin,2,4,1
5,Jackson,Murphysboro,36528,21150,155,64000,Jackson,2,2,1
6,Jefferson,Mount Vernon,38160,21150,84,64000,Jefferson,2,2,1
7,Johnson,Vienna,26976,21150,175,64000,Johnson,2,3,1
8,Massac,Metropolis,47472,21150,158,64000,Massac,2,2,1
9,Perry,Pinckneyville,31536,21150,143,64000,Perry,3,3,1
10,Pope,Golconda,24288,21150,132,64000,Pope,2,4,1
11,Pulaski,Mound City,45744,21177,90,64000,Pulaski,3,3,1
12,Randolph,Chester,33936,21232,80,64000,Randolph,2,2,1
13,Saline,Harrisburg,32256,21341,65,64000,Saline,2,3,1
14,Union,Jonesboro,28560,21546,108,64000,Union,3,3,1
15,Washington,Nashville,45936,21883,178,64000,Washington,2,2,1
16,White,Carmi,33408,22066,130,64000,White,2,2,1
17,Williamson,Marion,34752,22722,160,64000,Williamson,2,2,1
