Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2017,"32,237","31,008","1,229",3.8,,,,,,,,,,,,,,       
ALEXANDER COUNTY,3,2017,"2,161","1,989",172,8.0,,,,,,,,,,,,,,       
BOND COUNTY,5,2017,"7,817","7,478",339,4.3,,,,,,,,,,,,,,       
BOONE COUNTY,7,2017,"25,978","24,269","1,709",6.6,,,,,,,,,,,,,,       
BROWN COUNTY,9,2017,"2,842","2,761",81,2.9,,,,,,,,,,,,,,       
BUREAU COUNTY,11,2017,"17,319","16,490",829,4.8,,,,,,,,,,,,,,       
CALHOUN COUNTY,13,2017,"2,352","2,227",125,5.3,,,,,,,,,,,,,,       
CARROLL COUNTY,15,2017,"7,607","7,263",344,4.5,,,,,,,,,,,,,,       
CASS COUNTY,17,2017,"6,157","5,882",275,4.5,,,,,,,,,,,,,,       
CHAMPAIGN COUNTY,19,2017,"104,527","100,100","4,427",4.2,,,,,,,,,,,,,,       
CHRISTIAN COUNTY,21,2017,"14,687","13,919",768,5.2,,,,,,,,,,,,,,       
CLARK COUNTY,23,2017,"7,845","7,470",375,4.8,,,,,,,,,,,,,,       
CLAY COUNTY,25,2017,"6,623","6,277",346,5.2,,,,,,,,,,,,,,       
CLINTON COUNTY,27,2017,"20,251","19,547",704,3.5,,,,,,,,,,,,,,       
COLES COUNTY,29,2017,"24,429","23,308","1,121",4.6,,,,,,,,,,,,,,       
COOK COUNTY,31,2017,"2,653,153","2,514,113","139,040",5.2,,,,,,,,,,,,,,       
CRAWFORD COUNTY,33,2017,"8,778","8,323",455,5.2,,,,,,,,,,,,,,       
CUMBERLAND COUNTY,35,2017,"6,096","5,858",238,3.9,,,,,,,,,,,,,,       
DEKALB COUNTY,37,2017,"54,651","52,180","2,471",4.5,,,,,,,,,,,,,,       
DE WITT COUNTY,39,2017,"7,740","7,386",354,4.6,,,,,,,,,,,,,,       
DOUGLAS COUNTY,41,2017,"10,120","9,714",406,4.0,,,,,,,,,,,,,,       
DUPAGE COUNTY,43,2017,"515,683","494,644","21,039",4.1,,,,,,,,,,,,,,       
